co,route,orig_tc,orig_en,dest_tc,dest_en,orig_sc,dest_sc,data_timestamp
NWFB,N106,小西灣 (藍灣半島),Siu Sai Wan (Island Resort),黃大仙,Wong Tai Sin,小西湾 (蓝湾半岛),黄大仙,2020-05-22T05:00:02+08:00
NWFB,N116,北角,North Point,慈雲山 (中),Tsz Wan Shan (Central),北角,慈云山 (中),2020-05-22T05:00:02+08:00
NWFB,N121,中環 (港澳碼頭),Central (Macau Ferry),牛頭角,Ngau Tau Kok,中环 (港澳码头),牛头角,2020-05-22T05:00:02+08:00
NWFB,N122,筲箕灣,Shau Kei Wan,美孚,Mei Foo,筲箕湾,美孚,2020-05-22T05:00:02+08:00
NWFB,N601,金鐘 (東),Admiralty (East),寶達邨,Po Tat Estate,金钟 (东),宝达邨,2020-05-22T05:00:02+08:00
NWFB,N680,中環 (港澳碼頭),Central (Macau Ferry),馬鞍山 (錦英苑),Ma On Shan (Kam Ying Court),中环 (港澳码头),马鞍山 (锦英苑),2020-05-22T05:00:02+08:00
NWFB,N691,中環 (港澳碼頭),Central (Macau Ferry),調景嶺 (景嶺路),Tiu Keng Leng (King Ling Road),中环 (港澳码头),调景岭 (景岭路),2020-05-22T05:00:02+08:00
NWFB,N796,日出康城／將軍澳站,Lohas Park / Tseung Kwan O Station,尖沙咀,Tsim Sha Tsui,日出康城／将军澳站,尖沙咀,2020-05-22T05:00:02+08:00
NWFB,N8,灣仔北,Wan Chai North,杏花邨,Heng Fa Chuen,湾仔北,杏花邨,2020-05-22T05:00:02+08:00
NWFB,N8P,小西灣 (藍灣半島),Siu Sai Wan (Island Resort),灣仔 (港灣道),Wan Chai (Harbour Road),小西湾 (蓝湾半岛),湾仔 (港湾道),2020-05-22T05:00:02+08:00
NWFB,R680,馬鞍山 (錦英苑),Ma On Shan (Kam Ying Court),銅鑼灣 (維多利亞公園),Causeway Bay (Victoria Park),马鞍山 (锦英苑),铜锣湾 (维多利亚公园),2020-05-22T05:00:02+08:00
NWFB,X15,中環 (天星碼頭),Central (Star Ferry),山頂,The Peak,中环 (天星码头),山顶,2020-05-22T05:00:02+08:00
NWFB,X797,調景嶺站,Tiu Keng Leng Station,消防及救護學院,Fire and Ambulance Services Academy,调景岭站,消防及救护学院,2020-05-22T05:00:02+08:00
NWFB,X970,海怡半島,South Horizons,蘇屋邨,So Uk Estate,海怡半岛,苏屋邨,2020-05-22T05:00:02+08:00
