co,route,orig_tc,orig_en,dest_tc,dest_en,orig_sc,dest_sc,data_timestamp
CTB,47P,堅尼地城 (卑路乍灣),Kennedy Town (Belcher Bay),黃竹坑,Wong Chuk Hang,坚尼地城 (卑路乍湾),黄竹坑,2020-05-22T05:00:02+08:00
CTB,48,深灣／海洋公園,Sham Wan / Ocean Park,華富 (北),Wah Fu (North),深湾／海洋公园,华富 (北),2020-05-22T05:00:02+08:00
CTB,511,大坑徑,Tai Hang Drive,中環碼頭,Central (Ferry Piers),大坑径,中环码头,2020-05-22T05:00:02+08:00
CTB,592,海怡半島,South Horizons,銅鑼灣 (摩頓台),Causeway Bay (Moreton Terrace),海怡半岛,铜锣湾 (摩顿台),2020-05-22T05:00:02+08:00
CTB,592S,銅鑼灣 (摩頓台),Causeway Bay (Moreton Terrace),海怡半島,South Horizons,铜锣湾 (摩顿台),海怡半岛,2020-05-22T05:00:02+08:00
CTB,5B,堅尼地城,Kennedy Town,銅鑼灣 / 香港大球場,Causeway Bay / Hong Kong Stadium,坚尼地城,铜锣湾 / 香港大球场,2020-05-22T05:00:02+08:00
CTB,5X,堅尼地城,Kennedy Town,銅鑼灣 (威非路道),Causeway Bay (Whitfield Road),坚尼地城,铜锣湾 (威非路道),2020-05-22T05:00:02+08:00
CTB,6,中環 (交易廣場),Central (Exchange Square),赤柱市場,Stanley Market,中环 (交易广场),赤柱市场,2020-05-22T05:00:02+08:00
CTB,606,小西灣 (藍灣半島),Siu Sai Wan (Island Resort),彩雲 (豐盛街),Choi Wan (Fung Shing Street),小西湾 (蓝湾半岛),彩云 (丰盛街),2020-05-22T05:00:02+08:00
CTB,606A,彩雲 (豐盛街),Choi Wan (Fung Shing Street),耀東邨,Yiu Tung Estate,彩云 (丰盛街),耀东邨,2020-05-22T05:00:02+08:00
CTB,606X,小西灣 (藍灣半島),Siu Sai Wan (Island Resort),九龍灣,Kowloon Bay,小西湾 (蓝湾半岛),九龙湾,2020-05-22T05:00:02+08:00
CTB,608,九龍城 (盛德街),Kowloon City (Shing Tak Street),嘉亨灣,Grand Promenade,九龙城 (盛德街),嘉亨湾,2020-05-22T05:00:02+08:00
